Address,Country,Charity
0x63b83bf5301bff124dd66ccee6740a8ebee8a320,Country 1,Yes
0xff205f98b3d9caa47e67004f13957aad465f536e,Country 2,Yes
0x1b74c924b2bf346717ef9a01a8ab397ba02d7d3c,Country 3,Yes
0x838c77e7e8a84dbec2221a20bb46246f7043054b,Country 4,Yes
0x5370fa419eab14a9c27d532f7a36b11e858c812d,Country 5,Yes
0x24c8543b6321866c482ef7cca5accfe07b3305b4,Country 6,Yes
0x459ac8ff680a0bdcb8ed45321ccf8a1a4b691419,Country 7,Yes
0x838d6f634767cc474d88d1b69cb0cd09149f4ea4,Country 8,Yes
0x1fd3339793f19e32d01862c4788d15abcdc0fe6f,Country 9,Yes
0x59df9c5825b0f111a6e6694f3a1f2db47cbcfacc,Country 10,Yes
0x93acd6cc72145591681ad80193f34e7e579de139,Country 11,Yes
0x05fc6b5ad2dbf4ada20a7867a88d7744d8d8c0a9,Country 12,Yes
0xfe73b6b4817996d3198903c56fd1e9af06d0277c,Country 13,Yes
0x4ccd217e909871b2454c58fc6611f8b3eaec89c0,Country 14,Yes
0xf307017f23c8bfcf1bac8f864a44459353a51787,Country 15,Yes
0x728d59415beb0008c28284b36f57f6d998925e5d,Country 16,Yes
0xe57efdd6271974a048dcfbc69afb9c0d95c9c8d1,Country 17,Yes
0x80993f7003142cdaa3ba7dba53b09eb1b2d83e95,Country 18,Yes
0x23b0fc9994f585fc8a0f6281c17371f771ad6c69,Country 19,Yes
0x61c7398926da1363a30f330997e59ed5ee14bf47,Country 20,Yes
0xb6711757012c542df991a28e36456072fa5b62ab,Country 21,Yes
0x40e70f3118e57170baf16bfd6a1050d5e525c4e5,Country 22,Yes
0x41d12cd3e3f9d633eadf62935cfdb4b00432befc,Country 23,Yes
0xf4a7e2dcc30e83da4d9ee71b632716513b1becf4,Country 24,Yes
0x007237ea06a6a32dea5e979f5fbe335582352028,Country 25,Yes
0xc8fc282c6ed05adbc644092f2c426ef9e36a3884,Country 26,Yes
0xf0de840acd7828171b6b49fb2a53be92efa4a1f1,Country 27,Yes
0x2338e75dcc3cdc0de8f4049bb45e95a4de5db658,Country 28,Yes
0x5c95eb380f814439de18b3a3fd67a3493a239ce7,Country 29,Yes
0xc2081c26be9d272c3f527de0385acfd3580f38fc,Country 30,Yes
0x3a32cd28e733b6fd77cea7aed0c6119c2488ab8f,Country 31,Yes
0x9d062c822ca0cbc83e45d3bf92d0d94c4b95514e,Country 32,Yes
0xa66de14988a014eaf8bdc73432c712bca1008cb3,Country 33,Yes
0x2f2df59078ceadde0f6c144feacdce177a1d19d4,Country 34,Yes
0x897925fe6b2fb95b1fc4b29a68030374a1b5aa58,Country 35,Yes
0x0943e16625d561a357a80975c93b5eeea2dafa47,Country 36,Yes
0x9fd1494f2f577982b2131c8fe1c8bc73ca43ec19,Country 37,Yes
0x075bdd469ac6fba8e104926e3d3c9970445e188e,Country 38,Yes
0x7a28868b55fd29de5b5684fb7e332a51f65e7a9b,Country 39,Yes
0xc91c5bda99e74bc1b901583816405ac720949000,Country 40,Yes
0xf094c0a42e550594f9893aeb69369f8a3bb9948c,Country 41,Yes
0xd6bdbb920468600701a2a7b2696e30baff92b620,Country 42,Yes
0x5512b30c29e7aaf7ee5a058a0be993bce322a468,Country 43,Yes
